Date,Value
2022-01-01,-0.2584220106
2022-02-01,-0.3095519493
2022-03-01,-0.0695174181
2022-04-01,-0.2981172053
2022-05-01,-0.0084897932
2022-06-01,0.049821579
2022-07-01,0.0555450361
2022-08-01,-0.1419957002
2022-09-01,0.0221188337
2022-10-01,0.538245651
2022-11-01,0.0051245001
2022-12-01,-0.0450736191
2023-01-01,-0.1237155815
2023-02-01,-0.3318949773
2023-03-01,1.0273080815
2023-04-01,0.2280537218
2023-05-01,0.4032084122
2023-06-01,0.1385884818
2023-07-01,0.2653869289
2023-08-01,-0.2321069742
2023-09-01,-0.3164258314
2023-10-01,0.022749219
2023-11-01,-0.2803871453
2023-12-01,-0.3426869213
2024-01-01,-0.363148596
2024-02-01,-0.4614761538
2024-03-01,-0.4821777424
2024-04-01,-0.479602032
2024-05-01,-0.7098029522
2024-06-01,-0.6270724414
2024-07-01,-0.3213954881
2024-08-01,-0.4258764736
2024-09-01,-0.4457651759
2024-10-01,-0.3993199612
2024-11-01,-0.4614452224
2024-12-01,-0.7548081557
